epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1520.76,0.73571,0.72748,1.1123,0.72842,0.72277,0.74076,0.51112,0.99491,0.92605,1.40568,0.000416533,0.000416533,0.000416533
2,3095.99,0.76014,0.75256,1.12089,0.73403,0.72457,0.75277,0.54322,0.90319,0.97464,1.33822,0.000558244,0.000558244,0.000558244
3,4101.26,0.90381,0.90337,1.22133,0.76937,0.75281,0.78895,0.58526,0.80966,0.81441,1.24256,0.000424955,0.000424955,0.000424955
